,username,tweet_id,tweet_date,tweet_content,tweet_retweet_count,tweet_quote_count,tweet_reply_count,tweet_like_count
6728,JoeBiden,1175103075650080769,09/20/2019,"Two years ago, Hurricane Maria made landfall in Puerto Rico — devastating the island and killing thousands.

At a time when our fellow Americans needed help the most, President Trump failed them. https://t.co/GXDDKmN3QV",1287,182,367,3942
6729,JoeBiden,1175085711340507136,09/20/2019,Inspired by the courage and determination of young people across the world as they take to the streets for today’s #ClimateStrike. Climate change is an existential threat that we cannot wait to address. It's up to all of us to take action—future generations are counting on us.,472,29,204,2575
6730,JoeBiden,1175081308793593862,09/20/2019,"From Universal Pre-K to fighting for raising the minimum wage, @BilldeBlasio has a record of taking on the important issues we face as a nation. Thank you for running a campaign focused on lifting up working families. https://t.co/to6SRwbOXQ",128,22,96,748
6731,JoeBiden,1174884636285132800,09/20/2019,.@DrBiden and I are thinking of everyone in Texas affected by Tropical Depression Imelda. Please follow the instructions of local authorities and take all necessary precautions to stay safe during this flooding. https://t.co/f1NIrLKhPU,257,12,59,1266
6732,JoeBiden,1174844371230806016,09/20/2019,Our students deserve better than four more years of Donald Trump and Betsy DeVos.,3548,257,890,32611
6733,JoeBiden,1174839245053321217,09/20/2019,"We started @ItsOnUs with the goal of ending the epidemic of sexual violence on our college campuses. I’m proud of the progress we’ve made, but we have further to go. As we celebrate #5YearsOfItsOnUs, we must recommit to rooting out the toxic culture once and for all. https://t.co/ya72SOIYVp",133,1,61,498
6734,JoeBiden,1174812914202509312,09/19/2019,"Wealthy special interests and corporations have dominated our politics for far too long.

It’s time we overturn Citizens United and create a public financing system for our elections.",400,38,208,1677
6735,JoeBiden,1174802343931478016,09/19/2019,"Siempre estuve orgulloso de servir junto al presidente Obama, pero nunca más que cuando aprobamos la Ley del Cuidado de Salud a Bajo Costo. Como presidente, protegeré y ampliaré Obamacare para garantizar que cada estadounidense reciba la atención médica que merece. https://t.co/a47rIpNP8P",134,8,88,583
6736,JoeBiden,1174762582168743936,09/19/2019,"I was proud to serve alongside President Obama every day, but never more so than when we passed the Affordable Care Act.

As president, I’ll protect and build on Obamacare to ensure every American receives the health care they deserve: https://t.co/34NCSYhO2C https://t.co/HBa1Ewy6tb",600,42,294,3290
6737,JoeBiden,1174751257270964225,09/19/2019,"South Carolina is one of only five states without a hate crime law. But this week, @SteveBenjaminSC and the Columbia City Council stood up and declared that hatred and bigotry have no place in their city. https://t.co/KGqomC7Wvn",184,9,57,700
6738,JoeBiden,1174732383066542084,09/19/2019,"Jill and I are heartbroken at the passing of Dr. Emily Clyburn. She was a remarkable woman — an activist and community leader, a true partner throughout Jim's career in public office. Jim and the entire Clyburn family are in our hearts during this time of grief. https://t.co/1DXYCSLgG1",182,5,25,901
6739,JoeBiden,1174688343235452930,09/19/2019,It’s past time we ban assault weapons and high-capacity magazines. We must get these weapons of war out of our communities. https://t.co/yTQ4SvqIAR,523,31,219,2236
6740,JoeBiden,1174413029120913408,09/18/2019,I’m more optimistic about America’s future today than I was when I was first elected to the Senate as a 29-year-old kid. There’s not a single thing we cannot do — if we do it together.,482,83,591,3489
6741,JoeBiden,1174372182463582208,09/18/2019,"We need a president who believes in science over fiction. As president, I will fight for rigorous fuel economy standards that protect our health, our environment, and our economy.",313,16,151,2407
6742,JoeBiden,1174371856528367622,09/18/2019,"Donald Trump continues his relentless effort to roll back the hard-fought progress we made in the Obama-Biden Administration. Higher auto emission standards make the air we all breathe cleaner, keep us healthier—and keep our auto industry competitive in the global marketplace. https://t.co/G2scIizq53",596,36,204,2856
6743,JoeBiden,1174344577865486337,09/18/2019,"When domestic abusers have easy access to guns, the result can be fatal. Gov. Sununu should work with the NH legislature to keep guns out of the hands of abusers. 

I wrote &amp; passed the Violence Against Women Act. I’ve taken on the NRA twice — and as president, I’ll do it again.",367,23,146,1690
6744,JoeBiden,1174332875115827200,09/18/2019,Another school year is starting. Another month of Senate Republicans’ inaction on gun violence. This powerful ad from my friends @sandyhook captures the physical and emotional consequences of that inaction. https://t.co/16jaVm4QNG,390,23,98,1332
6745,JoeBiden,1174137142345371648,09/18/2019,"When I talk about our gun violence epidemic, I’m not only talking about the tragic mass shootings that make national news. I’m also talking about the shootings that occur every day in communities across the nation like Wilmington, Delaware.

We must take on the @NRA and end this. https://t.co/O7hq93Jdyf",303,14,203,1421
6746,JoeBiden,1174123370075611137,09/18/2019,No one should be fired simply because of who they are or who they love. We must pass the Equality Act and ensure LGBTQ Americans are treated with the dignity and respect they deserve.,759,32,164,5273
6747,JoeBiden,1174117581764141056,09/18/2019,I can promise you that no one will work harder to earn the support of every Amtrak employee. https://t.co/H7YupBImgi,165,30,94,1038
6748,JoeBiden,1174108522319097857,09/17/2019,"America’s unions and workers are standing up and demanding better. Together, we will rebuild the great American middle class and ensure every worker receives the pay and benefits they deserve. https://t.co/WvTJAAPUq3",196,10,76,671
6749,JoeBiden,1174096946153185281,09/17/2019,"Grateful for all the support at last night’s Galivants Ferry Stump in South Carolina! It’s time we get up, come together as a nation, and lead the world once again. Because there’s not a single thing we cannot do together. https://t.co/JEoXLGXDWP",237,16,81,1059
6750,JoeBiden,1174081091688288256,09/17/2019,"Our firefighters and teachers should not be paying a higher tax rate than someone making $50 million a year.

We’ve got to repeal President Trump’s tax cuts for the super-wealthy and create a tax code that works for the middle class.",802,34,232,4485
6751,JoeBiden,1174048879089803265,09/17/2019,"This afternoon, I’m joining @PhillyAFLCIO at the #Workers2020 Summit to discuss how a Biden administration will rebuild America’s middle class and strengthen the right to organize and collectively bargain. Tune in: https://t.co/9C0dDa9HZ2",87,3,56,312
6752,JoeBiden,1174026985099714568,09/17/2019,Cokie Roberts was a pioneer. Relentless in her pursuit of the truth and steadfast in her commitment to breaking down barriers for women in journalism—our country is better because of it. @DrBiden and I send our prayers to her loved ones at this time. https://t.co/ARA804negW,370,22,46,2537
6753,JoeBiden,1173994017664749568,09/17/2019,"Thank you, South Carolina, for a great evening at the Galivants Ferry Stump. As I discussed last night, we’ve got to rebuild America’s middle class. That starts with repealing President Trump’s tax cuts for the super-wealthy and rewarding work — not just wealth. https://t.co/ISrYut1BGO",192,5,88,884
6754,JoeBiden,1173794201240096768,09/17/2019,It’s always good to be back at the Galivants Ferry Stump! https://t.co/5Aq57vMzgk,187,11,144,1010
6755,JoeBiden,1173760982625214467,09/17/2019,"259 days into 2019.

300 mass shootings.

We cannot go on like this.",1397,74,420,8009
6756,JoeBiden,1173748651182710785,09/17/2019,"America’s farmers continue to pay the price for President Trump’s reckless trade war. He thinks he’s being tough, but it’s easy to act tough when someone else is feeling the pain.

As president, I’ll stand up to China and help working families. https://t.co/UHhCVLetKD",482,25,260,1803
